Date,Calibre Index Fund,"""Nasdaq Composite, x""","""Nasdaq Composite, y""","""MSCI EAFE Index Fund (ETF), x""",MSCI EAFE Index Fund (ETF),"""Dow Jones Industrial Average, y""","""S&amp;P 500 Index, y"""
2020-01-02,189.850006,,,2015-01-07,59.13,17832.990234,2058.199951
2020-01-05,186.389999,,,2015-01-08,59.93,17501.650391,2020.5799559999998
2020-01-06,184.729996,,,2015-01-09,59.64,17371.640625,2002.609985
2020-01-07,186.940002,,,2015-01-12,59.5,17584.519531,2025.9000239999998
2020-01-08,190.279999,,,2015-01-13,59.8,17907.869141,2062.139893
2020-01-09,188.679993,,,2015-01-14,59.63,17737.369141,2044.810059
2020-01-12,187.149994,,,2015-01-15,60.01,17640.839844,2028.2600100000002
2020-01-13,186.690002,,,2015-01-16,60.79,17613.679688,2023.030029
2020-01-14,185.610001,,,2015-01-20,61.0,17427.089844,2011.27002
2020-01-15,183.899994,,,2015-01-21,61.48,17320.710938,1992.6700440000002
2020-01-16,186.369995,,,2015-01-22,61.71,17511.570313,2019.4200440000002
2020-01-20,186.66000400000001,,,2015-01-23,61.36,17515.230469,2022.550049
2020-01-21,187.559998,,,2015-01-26,62.2,17554.279297,2032.119995
2020-01-22,190.429993,,,2015-01-27,62.29,17813.980469,2063.149902
2020-01-23,189.380005,,,2015-01-28,61.36,17672.599609,2051.820068
2020-01-26,189.869995,,,2015-01-29,62.2,17678.699219,2057.090088
2020-01-27,187.330002,,,2015-01-30,61.22,17387.210938,2029.550049
2020-01-28,184.809998,,,2015-02-02,61.96,17191.369141,2002.160034
2020-01-29,186.58999599999999,,,2015-02-03,62.95,17416.849609,2021.25
2020-01-30,184.169998,,,2015-02-04,62.43,17164.949219,1994.9899899999998
2020-02-02,186.559998,,,2015-02-05,63.29,17361.039063,2020.8499760000002
2020-02-03,189.25,,,2015-02-06,62.5,17666.400391,2050.030029
2020-02-04,188.520004,,,2015-02-09,62.2,17673.019531,2041.5100100000002
2020-02-05,190.5,,,2015-02-10,62.77,17884.880859,2062.52002
2020-02-06,189.899994,,,2015-02-11,62.43,17824.289063,2055.469971
2020-02-09,189.100006,,,2015-02-12,63.4,17729.210938,2046.7399899999998
2020-02-10,191.119995,,,2015-02-13,63.82,17868.759766,2068.590088
2020-02-11,191.179993,,,2015-02-17,63.97,17862.140625,2068.530029
2020-02-12,193.070007,,,2015-02-18,64.35,17972.380859,2088.47998
2020-02-13,193.880005,,,2015-02-19,64.43,18019.349609,2096.98999
2020-02-17,194.21000700000002,,,2015-02-20,65.03,18047.580078,2100.340088
2020-02-18,194.16000400000001,,,2015-02-23,64.8,18029.849609,2099.679932
2020-02-19,193.990005,,,2015-02-24,65.2,17985.769531,2097.449951
2020-02-20,195.199997,,,2015-02-25,65.25,18140.439453,2110.300049
2020-02-23,195.139999,,,2015-02-26,65.07,18116.839844,2109.659912
2020-02-24,195.679993,,,2015-02-27,65.1,18209.189453,2115.47998
2020-02-25,195.559998,,,2015-03-02,65.2,18224.570313,2113.860107
2020-02-26,195.309998,,,2015-03-03,64.8,18214.419922,2110.73999
2020-02-27,194.729996,,,2015-03-04,64.54,18132.699219,2104.5
2020-03-02,195.929993,,,2015-03-05,64.69,18288.630859,2117.389893
2020-03-03,195.03999299999998,,,2015-03-06,63.81,18203.369141,2107.780029
2020-03-04,194.229996,,,2015-03-09,63.91,18096.900391,2098.530029
2020-03-05,194.470001,,,2015-03-10,62.52,18135.720703,2101.040039
2020-03-06,191.729996,,,2015-03-11,62.68,17856.779297,2071.26001
2020-03-09,192.509995,,,2015-03-12,63.46,17995.720703,2079.429932
2020-03-10,189.25,,,2015-03-13,63.09,17662.939453,2044.160034
2020-03-11,188.919998,,,2015-03-16,63.8,17635.390625,2040.2399899999998
2020-03-12,191.350006,,,2015-03-17,63.64,17895.220703,2065.949951
2020-03-13,190.190002,,,2015-03-18,65.0,17749.310547,2053.399902
2020-03-16,192.759995,,,2015-03-19,64.24,17977.419922,2081.189941
2020-03-17,192.119995,,,2015-03-20,65.66,17849.080078,2074.280029
2020-03-18,194.46000700000002,,,2015-03-23,65.99,18076.189453,2099.5
2020-03-19,193.520004,,,2015-03-24,65.85,17959.029297,2089.27002
2020-03-20,194.320007,,,2015-03-25,65.54,18127.650391,2108.100098
2020-03-23,193.979996,,,2015-03-26,64.97,18116.039063,2104.419922
2020-03-24,192.809998,,,2015-03-27,65.14,18011.140625,2091.5
2020-03-25,190.009995,,,2015-03-30,65.18,17718.539063,2061.050049
2020-03-26,189.559998,,,2015-03-31,64.17,17678.230469,2056.149902
2020-03-27,190.03999299999998,,,2015-04-01,64.63,17712.660156,2061.02002
2020-03-30,192.380005,,,2015-04-02,65.19,17976.310547,2086.23999
2020-03-31,190.71000700000002,,,2015-04-06,65.85,17776.119141,2067.889893
2020-04-01,189.979996,,,2015-04-07,65.76,17698.179688,2059.689941
2020-04-02,190.649994,,,2015-04-08,66.04,17763.240234,2066.959961
2020-04-06,191.91000400000001,,,2015-04-09,66.13,17880.849609,2080.6201170000004
2020-04-07,191.520004,,,2015-04-10,66.26,17875.419922,2076.330078
2020-04-08,192.100006,,,2015-04-13,65.84,17902.509766,2081.899902
2020-04-09,192.96000700000002,,,2015-04-14,66.33,17958.730469,2091.179932
2020-04-10,193.96000700000002,,,2015-04-15,66.63,18057.650391,2102.060059
2020-04-13,193.08999599999999,,,2015-04-16,66.81,17977.039063,2092.429932
2020-04-14,193.399994,,,2015-04-17,65.97,18036.699219,2095.840088
2020-04-15,194.399994,,,2015-04-20,66.04,18112.609375,2106.6298829999996
2020-04-16,194.25,,,2015-04-21,66.63,18105.769531,2104.98999
2020-04-17,192.050003,,,2015-04-22,66.76,17826.300781,2081.179932
2020-04-20,193.830002,,,2015-04-23,67.01,18034.929688,2100.399902
2020-04-21,193.53999299999998,,,2015-04-24,67.4,17949.589844,2097.290039
2020-04-22,194.529999,,,2015-04-27,67.73,18038.269531,2107.959961
2020-04-23,195.009995,,,2015-04-28,67.81,18058.689453,2112.929932
2020-04-24,195.449997,,,2015-04-29,67.22,18080.140625,2117.689941
2020-04-27,194.639999,,,2015-04-30,66.51,18037.970703,2108.919922
2020-04-28,195.199997,,,2015-05-01,67.25,18110.140625,2114.76001
2020-04-29,194.479996,,,2015-05-04,67.18,18035.529297,2106.850098
2020-04-30,192.520004,,,2015-05-05,66.18,17840.519531,2085.51001
2020-05-01,194.619995,,,2015-05-06,66.35,18024.060547,2108.290039
2020-05-04,195.190002,,,2015-05-07,66.13,18070.400391,2114.48999
2020-05-05,192.899994,,,2015-05-08,67.66,17928.199219,2089.459961
2020-05-06,192.110001,,,2015-05-11,67.07,17841.980469,2080.149902
2020-05-07,192.880005,,,2015-05-12,67.03,17924.060547,2088.0
2020-05-08,195.479996,,,2015-05-13,67.53,18191.109375,2116.100098
2020-05-11,194.520004,,,2015-05-14,68.34,18105.169922,2105.330078
2020-05-12,193.970001,,,2015-05-15,68.42,18068.230469,2099.1201170000004
2020-05-13,193.940002,,,2015-05-18,68.19,18060.490234,2098.47998
